"Lon";"Lat";"scientificName";"year";"month";"day";"accessRights";"bibliographicCitation";"X_leaflet_id";"layerId";"edit_id"
"1";8.5466;42.3804;"Paramuricea clavata";"2012";"10";"4";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Chic, Oscar; Garrabou, Joaquim. (2020) Global Marine biodiversity data from Seawatchers Marine Citizen Science Platform between 1980 and 2020 https://dx.doi.org/10.14284/519 NA Coral Alert! (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.505972";211;"211";"211"
"2";10.30233;42.35055;"Paramuricea clavata";"2020";"6";"26";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"3";9.8514;44.0236;"Paramuricea clavata";"2007";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"4";16.1458;38.8708;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"5";9.19;44.3;"Paramuricea clavata";"1993";NA;NA;"Attribution-NonCommercial-ShareAlike (CC BY-NC-SA)";"Garrabou, Joaquim; Bazairi, Hocein; Espinosa, Free; Ramdani, Mohamed; Grimes, Samir; Benabdi, Mouloud; Ben Souissi, Jamila; Soufi, Emna; Khamassi, Faten; Ghanem, Raouia; Ocaña, Óscar; Ramos Esplá, Alfonso A.; Izquierdo, Andrés; Antón, Irene; Portillo, Esther; Barberá, Carmen; Marbà, Núria; Hendriks, Iris E.; Duarte, Carlos M.; Cebrian, Emma; Deudero Company, María de la Salud; Díaz, David; Vázquez-Luis, Maite; Álvarez, Elvira; Linares, Cristina; Hereu, Bernat; Kersting, D. K.; Bensoussan, Nathaniel; Gómez-Gras, D.; Azzurro, Ernesto; Ledoux, J. B.; Gori, Andrea; Viladrich, Nuria; Sartoretto, Stéphane; Pairaud, Ivane Lilian; Ruitton, Sandrine; Fraschetti, Simonetta; Rivetti, Irene; Cerrano, Carlo; Ponti, Massimo; Bavestrello, G.; Cattaneo-Vietti, R.; Bo, Marzia; Bertolino, Marco; Montefalcone, Monica; Kipson, Silvija; Bakran-Petricioli, Tatjana; Gerovasileiou, Vasilis; Sini, Maria; Tuney Kizilkaya, Inci; Zilizkaya, Zafer; Eda Topçu, N.; Rilov, Gil ; 2018; \"MME-T-MEDNet: Mass mortality events in Mediterranean marine coastal ecosystems [Dataset]\"; DIGITAL.CSIC; http://dx.doi.org/10.20350/digitalCSIC/8575 NA MME-T-MEDNet: Mass mortality events in Mediterranean marine coastal ecosystems (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:22.072661";211;"211";"211"
"6";9.21798;44.29822;"Paramuricea clavata";"2014";"10";"20";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"7";9.21953;44.29798;"Paramuricea clavata";"2008";"9";"1";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"8";9.21798;44.29822;"Paramuricea clavata";"2014";"9";"23";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"9";2.5556;41.5311;"Paramuricea clavata";"2012";"8";"12";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Chic, Oscar; Garrabou, Joaquim. (2020) Global Marine biodiversity data from Seawatchers Marine Citizen Science Platform between 1980 and 2020 https://dx.doi.org/10.14284/519 NA Coral Alert! (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.505972";211;"211";"211"
"10";3.266;42.24;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"11";9.21798;44.29822;"Paramuricea clavata";"2014";"9";"13";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"12";8.20423;43.99466;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"13";9.14452;44.32054;"Paramuricea clavata";"2014";"7";"27";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"14";18.3668;39.7892;"Paramuricea clavata";"2007";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"15";5.3886;43.1724;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"16";5.3903;43.1726;"Paramuricea clavata";"2003";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"17";5.3886;43.1724;"Paramuricea clavata";"2012";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"18";9.851;44.0227;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"19";3.2026;41.8848;"Paramuricea clavata";"2019";"8";"3";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Chic, Oscar; Garrabou, Joaquim. (2020) Global Marine biodiversity data from Seawatchers Marine Citizen Science Platform between 1980 and 2020 https://dx.doi.org/10.14284/519 NA Coral Alert! (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.505972";211;"211";"211"
"20";8.5499;42.3799;"Paramuricea clavata";"2012";"10";"4";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Chic, Oscar; Garrabou, Joaquim. (2020) Global Marine biodiversity data from Seawatchers Marine Citizen Science Platform between 1980 and 2020 https://dx.doi.org/10.14284/519 NA Coral Alert! (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.505972";211;"211";"211"
"21";9.21798;44.29822;"Paramuricea clavata";"2015";"6";"19";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"22";7.91291;43.81936;"Paramuricea clavata";"2014";"8";"31";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"23";9.85135;44.0224;"Paramuricea clavata";"1998";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"24";11.08091;42.41816;"Paramuricea clavata";"2014";"8";"18";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"25";1.1651;38.9693;"Paramuricea clavata";"2018";"6";"10";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Chic, Oscar; Garrabou, Joaquim. (2020) Global Marine biodiversity data from Seawatchers Marine Citizen Science Platform between 1980 and 2020 https://dx.doi.org/10.14284/519 NA Coral Alert! (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.505972";211;"211";"211"
"26";11.1096;42.2628;"Paramuricea clavata";"2014";"7";"27";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"27";9.14452;44.32054;"Paramuricea clavata";"2015";"4";"13";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
