"Lon";"Lat";"scientificName";"year";"month";"day";"accessRights";"bibliographicCitation";"X_leaflet_id";"layerId";"edit_id"
"1";-3.0565641;48.8389778;"Laminaria ochroleuca";"2017";"4";"18";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Institut Français de Recherche pour l’Exploitation de la MER (2022). Macrophytes occurrence data within French Mediterranen Lagoon since 2006 NA QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064) (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:43.138385";324;"324";"324"
"2";-5.14172;48.44537;"Laminaria ochroleuca";"2017";"4";"21";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"REBENT network (2019). Intertidal and Subtidal Macroalgae taxa data  in ODV format from French REBENT Network. SEANOE. Https://doi.org/10.17882/60891 NA Intertidal and Subtidal Macroalgae taxa data in ODV format from French REBENT Network (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:43.367691";324;"324";"324"
"3";-3.951233;47.721667;"Laminaria ochroleuca";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Cite data as:Rassweiler, A., Novak, M., Okamoto, D., Byrnes, J., Krumhansl, K. (2016). Global Kelp Timeseries from NCEAS/KEEN Working Group. Florida State University, Oregon State University, Simon Fraser University, University of Massachusetts Boston. Data accessed at http://catalogue-temperatereefbase.imas.utas.edu.au:/geonetwork/srv/en/metadata.show?uuid=ecbe5cc3-3fbf-4569-b5e8-07c2201fcb9c on [access date].

If you have kelp timeseries greater than 3 years in length, please consider contributing to the data set. Contact Jarrett Byrnes for details. IMAS and University of Massachusetts NCEAS-KEEN-TS (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:44.583438";324;"324";"324"
"4";-6.313705;49.92338;"Laminaria ochroleuca";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Joint Nature Conservation Committee (JNCC) (2021): Marine Recorder Snapshot extract of surveys entered by JNCC. v2.1. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/mehqrq DASSH NA (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:46.775415";324;"324";"324"
"5";-6.29795;49.97683;"Laminaria ochroleuca";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Natural England (NE) (2021): Marine Recorder Snapshot extract of surveys entered by Natural England. v2.1. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/thn0xd DASSH NA (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:46.985744";324;"324";"324"
"6";-6.314701;49.92657;"Laminaria ochroleuca";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Natural England (NE) (2021): Marine Recorder Snapshot extract of surveys entered by Natural England. v2.1. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/thn0xd DASSH NA (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:46.985744";324;"324";"324"
"7";-4.135636;50.33822;"Laminaria ochroleuca";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Natural England (NE) (2021): Marine Recorder Snapshot extract of surveys entered by Natural England. v2.1. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/thn0xd DASSH NA (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:46.985744";324;"324";"324"
"8";-2.526006;49.4225;"Laminaria ochroleuca";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"SeaSearch (2021): Marine Recorder Snapshot extract of surveys entered by SeaSearch. v2.1. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/yq0gbg DASSH NA (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:47.592558";324;"324";"324"
"9";-5.016334;50.14034;"Laminaria ochroleuca";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Natural England (NE) (2021): Marine Recorder Snapshot extract of surveys entered by Natural England. v2.1. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/thn0xd DASSH NA (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:46.985744";324;"324";"324"
"10";-2.369467;49.44507;"Laminaria ochroleuca";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"SeaSearch (2021): Marine Recorder Snapshot extract of surveys entered by SeaSearch. v2.1. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/yq0gbg DASSH NA (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:47.592558";324;"324";"324"
"11";-4.1360712;50.338249;"Laminaria ochroleuca";"1998";"10";"2";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Marine Biological Association of the UK (MBA); (2016): DASSH: The UK Archive for Marine Species and Habitats Data Marine Biological Association of the UK (MBA) The Marine Biological Association of the United Kingdom (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:47.909888";324;"324";"324"
"12";-8.82277777777778;41.6405555555556;"Laminaria ochroleuca";"2003";"2";"1";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Aráujo R., Bárbara I, Tibaldo M., Berecibar E., Díaz Tapia P., Pereira R., Santos R. &amp; Sousa-Pinto I. Checklist of benthic marine algae and cyanobacteria of northern Portugal. Centre of Marine and Environmental Research; Interdisciplinary Centre for Marine and Environmental Research (Porto) (Ciimar). CIIMAR Checklist Northern Portugal (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:48.130906";324;"324";"324"
"13";-5.074501;50.09417;"Laminaria ochroleuca";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Natural England (NE) (2021): Marine Recorder Snapshot extract of surveys entered by Natural England. v2.1. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/thn0xd DASSH NA (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-21 14:09:46.985744";324;"324";"324"
